chunk_size,overlap,model,query,rank,score,topic,chunk_id,text_preview
200,20,MiniLM,Explain retrieval augmented generation in simple terms,1,0.7669997215270996,RAG,rag_01::c0,"Retrieval-Augmented Generation (RAG) is a technique that combines information retrieval with text generation.          Instead of relying solely on the knowledge stored in model parameters,          R"
200,20,MiniLM,Explain retrieval augmented generation in simple terms,2,0.52021324634552,RAG,rag_02::c3,"ing, multi-hop retrieval, and fusion techniques to improve answer quality."
200,20,MiniLM,Explain retrieval augmented generation in simple terms,3,0.5115157961845398,HyDE,hyde_01::c1,"ead of embedding the query directly, HyDE uses an LLM to generate a hypothetical document that would answer the query,           then embeds this generated document for retrieval.            This brid"
200,20,MiniLM,How does retrieval reduce hallucinations?,1,0.5809216499328613,RAG,rag_01::c1,"rameters,          RAG systems retrieve relevant documents from an external knowledge base and use them as context for generating responses.          This approach reduces hallucinations by grounding"
200,20,MiniLM,How does retrieval reduce hallucinations?,2,0.24880874156951904,HyDE,hyde_01::c3,nology than the indexed documents.            The technique adds latency due to the generation step but often significantly improves retrieval accuracy.
200,20,MiniLM,How does retrieval reduce hallucinations?,3,0.24217122793197632,RAG,rag_02::c1,"applications.          RAG systems also provide transparency since retrieved sources can be cited,          allowing users to verify the information. Common challenges in RAG include retrieval qualit"
200,20,MiniLM,What is the advantage of RAG over fine-tuning?,1,0.7679013609886169,RAG,rag_02::c0,The key advantage of RAG over fine-tuning is that the knowledge base can be updated without retraining the model.          This makes RAG cost-effective and flexible for enterprise applications.
200,20,MiniLM,What is the advantage of RAG over fine-tuning?,2,0.547143280506134,Evaluation,evaluation_01::c0,"Evaluating RAG systems requires measuring both retrieval quality and generation quality.          Retrieval metrics include Hit@K (whether relevant documents appear in top K results),          Mean Re"
200,20,MiniLM,What is the advantage of RAG over fine-tuning?,3,0.45710670948028564,RAG,rag_02::c1,"applications.          RAG systems also provide transparency since retrieved sources can be cited,          allowing users to verify the information. Common challenges in RAG include retrieval qualit"
200,20,MiniLM,What is chunking and why do we use overlap?,1,0.7298055291175842,Chunking,chunking_02::c1,s.          This preserves semantic coherence within chunks.          Chunk overlap (typically 10-20% of chunk size) ensures that information spanning chunk boundaries is not lost.          For struct
200,20,MiniLM,What is chunking and why do we use overlap?,2,0.611879825592041,Chunking,chunking_01::c0,Chunking is the process of splitting documents into smaller pieces for indexing and retrieval.          The chunk size significantly impacts retrieval quality.          Small chunks (100-200 tokens) p
200,20,MiniLM,What is chunking and why do we use overlap?,3,0.5678441524505615,Chunking,chunking_01::c2,"etween chunks helps maintain continuity across chunk boundaries.          Common chunking strategies include fixed-size chunking, sentence-based splitting, and semantic chunking based on topic boundar"
200,20,MiniLM,How does chunk size affect retrieval quality?,1,0.7522113919258118,Chunking,chunking_01::c0,Chunking is the process of splitting documents into smaller pieces for indexing and retrieval.          The chunk size significantly impacts retrieval quality.          Small chunks (100-200 tokens) p
200,20,MiniLM,How does chunk size affect retrieval quality?,2,0.6120526194572449,Chunking,chunking_02::c1,s.          This preserves semantic coherence within chunks.          Chunk overlap (typically 10-20% of chunk size) ensures that information spanning chunk boundaries is not lost.          For struct
200,20,MiniLM,How does chunk size affect retrieval quality?,3,0.5484426617622375,Chunking,chunking_01::c3,"sed on topic boundaries.          The optimal chunk size depends on the embedding model's context window, the nature of queries, and the document structure."
200,20,MiniLM,What is recursive character text splitting?,1,0.8872708678245544,Chunking,chunking_02::c0,Recursive character text splitting is a popular chunking method that tries to split on natural boundaries like paragraphs and sentences before falling back to character-level splits.          This pre
200,20,MiniLM,What is recursive character text splitting?,2,0.5076967477798462,Chunking,chunking_02::c2,"For structured documents like code or markdown, specialized splitters that respect syntax boundaries produce better results.          Parent-child chunking stores both small chunks for preci"
200,20,MiniLM,What is recursive character text splitting?,3,0.41066429018974304,Chunking,chunking_01::c2,"etween chunks helps maintain continuity across chunk boundaries.          Common chunking strategies include fixed-size chunking, sentence-based splitting, and semantic chunking based on topic boundar"
200,20,MiniLM,What are text embeddings and how do they work?,1,0.6213207244873047,Embeddings,embeddings_01::c0,"Text embeddings are dense vector representations that capture semantic meaning.          In RAG systems, both documents and queries are converted to embeddings,          and similarity search finds th"
200,20,MiniLM,What are text embeddings and how do they work?,2,0.5858149528503418,Embeddings,embeddings_01::c1,"rity search finds the most relevant documents.          Popular embedding models include OpenAI's text-embedding-ada-002,          Sentence Transformers (like all-MiniLM-L6-v2), and BGE models."
200,20,MiniLM,What are text embeddings and how do they work?,3,0.5331513285636902,Embeddings,embeddings_01::c3,which is computationally efficient.          The choice of embedding model significantly impacts retrieval quality and should match the domain of your documents.
200,20,MiniLM,Which embedding models are popular for RAG?,1,0.591090202331543,Embeddings,embeddings_01::c0,"Text embeddings are dense vector representations that capture semantic meaning.          In RAG systems, both documents and queries are converted to embeddings,          and similarity search finds th"
200,20,MiniLM,Which embedding models are popular for RAG?,2,0.4870419502258301,Embeddings,embeddings_01::c1,"rity search finds the most relevant documents.          Popular embedding models include OpenAI's text-embedding-ada-002,          Sentence Transformers (like all-MiniLM-L6-v2), and BGE models."
200,20,MiniLM,Which embedding models are popular for RAG?,3,0.4856296181678772,RAG,rag_01::c3,"retrieving relevant passages given a query, and generating a response using the retrieved context.          RAG is particularly useful for knowledge-intensive tasks where the model needs acces"
200,20,MiniLM,What is FAISS and how does it work?,1,0.25452667474746704,VectorDB,vectordb_01::c0,Vector databases store embeddings and enable fast similarity search at scale.          FAISS (Facebook AI Similarity Search) is a popular open-source library for efficient similarity search.
200,20,MiniLM,What is FAISS and how does it work?,2,0.17352181673049927,Chunking,chunking_02::c0,Recursive character text splitting is a popular chunking method that tries to split on natural boundaries like paragraphs and sentences before falling back to character-level splits.          This pre
200,20,MiniLM,What is FAISS and how does it work?,3,0.12638917565345764,Evaluation,evaluation_01::c2,"e faithfulness and relevance scores. End-to-end evaluation often uses human judgment or LLM-as-judge approaches.          Important aspects to evaluate include factual accuracy, completeness, relevanc"
200,20,MiniLM,What are the different FAISS index types?,1,0.46611347794532776,VectorDB,vectordb_01::c1,"ty search.          It supports various index types: IndexFlatIP for exact search, IndexIVF for approximate search with clustering,          and IndexHNSW for graph-based approximate search. For produ"
200,20,MiniLM,What are the different FAISS index types?,2,0.3131403625011444,HyDE,hyde_01::c3,nology than the indexed documents.            The technique adds latency due to the generation step but often significantly improves retrieval accuracy.
200,20,MiniLM,What are the different FAISS index types?,3,0.2870911955833435,VectorDB,vectordb_01::c2,"te search. For production systems, managed vector databases like Pinecone,          Weaviate, Milvus, and Qdrant provide additional features like filtering, hybrid search, and automatic scaling."
200,20,MiniLM,What is HyDE in retrieval?,1,0.62940514087677,HyDE,hyde_01::c0,HyDE (Hypothetical Document Embeddings) is an advanced retrieval technique that improves search quality          by generating a hypothetical answer before retrieval.          Instead of embedding the
200,20,MiniLM,What is HyDE in retrieval?,2,0.46986645460128784,HyDE,hyde_01::c2,This bridges the semantic gap between short queries and longer document passages.            HyDE is particularly effective when queries are vague or use different terminology than the inde
200,20,MiniLM,What is HyDE in retrieval?,3,0.4647020399570465,HyDE,hyde_01::c1,"ead of embedding the query directly, HyDE uses an LLM to generate a hypothetical document that would answer the query,           then embeds this generated document for retrieval.            This brid"
200,20,MiniLM,How does hypothetical document embedding improve search?,1,0.7112147808074951,Embeddings,embeddings_01::c3,which is computationally efficient.          The choice of embedding model significantly impacts retrieval quality and should match the domain of your documents.
200,20,MiniLM,How does hypothetical document embedding improve search?,2,0.6165214776992798,HyDE,hyde_01::c0,HyDE (Hypothetical Document Embeddings) is an advanced retrieval technique that improves search quality          by generating a hypothetical answer before retrieval.          Instead of embedding the
200,20,MiniLM,How does hypothetical document embedding improve search?,3,0.5743847489356995,Embeddings,embeddings_01::c0,"Text embeddings are dense vector representations that capture semantic meaning.          In RAG systems, both documents and queries are converted to embeddings,          and similarity search finds th"
200,20,MiniLM,How do we evaluate retrieval quality?,1,0.6465587615966797,Evaluation,evaluation_01::c0,"Evaluating RAG systems requires measuring both retrieval quality and generation quality.          Retrieval metrics include Hit@K (whether relevant documents appear in top K results),          Mean Re"
200,20,MiniLM,How do we evaluate retrieval quality?,2,0.5885111093521118,Evaluation,evaluation_01::c2,"e faithfulness and relevance scores. End-to-end evaluation often uses human judgment or LLM-as-judge approaches.          Important aspects to evaluate include factual accuracy, completeness, relevanc"
200,20,MiniLM,How do we evaluate retrieval quality?,3,0.529495358467102,Evaluation,evaluation_01::c3,"mpleteness, relevance to the query, and proper attribution of sources.          A/B testing with real users provides the most reliable quality signal."
200,20,MiniLM,What is Mean Reciprocal Rank (MRR)?,1,0.37033766508102417,Evaluation,evaluation_01::c1,"s),          Mean Reciprocal Rank (MRR), and Normalized Discounted Cumulative Gain (NDCG). Generation quality can be measured using BLEU,          ROUGE, or model-based metrics like faithfulness and r"
200,20,MiniLM,What is Mean Reciprocal Rank (MRR)?,2,0.28360262513160706,Evaluation,evaluation_01::c2,"e faithfulness and relevance scores. End-to-end evaluation often uses human judgment or LLM-as-judge approaches.          Important aspects to evaluate include factual accuracy, completeness, relevanc"
200,20,MiniLM,What is Mean Reciprocal Rank (MRR)?,3,0.2608739733695984,Evaluation,evaluation_01::c0,"Evaluating RAG systems requires measuring both retrieval quality and generation quality.          Retrieval metrics include Hit@K (whether relevant documents appear in top K results),          Mean Re"
200,20,MiniLM,Why does adding retrieved context help LLM answers stay accurate?,1,0.5268526077270508,RAG,rag_01::c3,"retrieving relevant passages given a query, and generating a response using the retrieved context.          RAG is particularly useful for knowledge-intensive tasks where the model needs acces"
200,20,MiniLM,Why does adding retrieved context help LLM answers stay accurate?,2,0.4677843451499939,RAG,rag_02::c3,"ing, multi-hop retrieval, and fusion techniques to improve answer quality."
200,20,MiniLM,Why does adding retrieved context help LLM answers stay accurate?,3,0.40486887097358704,RAG,rag_01::c0,"Retrieval-Augmented Generation (RAG) is a technique that combines information retrieval with text generation.          Instead of relying solely on the knowledge stored in model parameters,          R"
200,20,MiniLM,Does overlap always improve retrieval precision?,1,0.4081434905529022,Chunking,chunking_02::c1,s.          This preserves semantic coherence within chunks.          Chunk overlap (typically 10-20% of chunk size) ensures that information spanning chunk boundaries is not lost.          For struct
200,20,MiniLM,Does overlap always improve retrieval precision?,2,0.40418121218681335,Evaluation,evaluation_01::c0,"Evaluating RAG systems requires measuring both retrieval quality and generation quality.          Retrieval metrics include Hit@K (whether relevant documents appear in top K results),          Mean Re"
200,20,MiniLM,Does overlap always improve retrieval precision?,3,0.38105422258377075,HyDE,hyde_01::c3,nology than the indexed documents.            The technique adds latency due to the generation step but often significantly improves retrieval accuracy.
200,20,MiniLM,Should I retrain my model or just add a search layer?,1,0.3296844959259033,RAG,rag_01::c4,he model needs access to up-to-date or domain-specific information that wasn't part of its training data.
200,20,MiniLM,Should I retrain my model or just add a search layer?,2,0.3174951672554016,Embeddings,embeddings_01::c3,which is computationally efficient.          The choice of embedding model significantly impacts retrieval quality and should match the domain of your documents.
200,20,MiniLM,Should I retrain my model or just add a search layer?,3,0.3159235119819641,RAG,rag_02::c0,The key advantage of RAG over fine-tuning is that the knowledge base can be updated without retraining the model.          This makes RAG cost-effective and flexible for enterprise applications.
200,20,MiniLM,When is updating model weights better than external retrieval?,1,0.45590466260910034,Embeddings,embeddings_01::c3,which is computationally efficient.          The choice of embedding model significantly impacts retrieval quality and should match the domain of your documents.
200,20,MiniLM,When is updating model weights better than external retrieval?,2,0.42867133021354675,RAG,rag_02::c0,The key advantage of RAG over fine-tuning is that the knowledge base can be updated without retraining the model.          This makes RAG cost-effective and flexible for enterprise applications.
200,20,MiniLM,When is updating model weights better than external retrieval?,3,0.3645617365837097,RAG,rag_01::c0,"Retrieval-Augmented Generation (RAG) is a technique that combines information retrieval with text generation.          Instead of relying solely on the knowledge stored in model parameters,          R"
200,20,MiniLM,Can retrieval completely replace parameter updates for domain adaptation?,1,0.4650958776473999,RAG,rag_01::c0,"Retrieval-Augmented Generation (RAG) is a technique that combines information retrieval with text generation.          Instead of relying solely on the knowledge stored in model parameters,          R"
200,20,MiniLM,Can retrieval completely replace parameter updates for domain adaptation?,2,0.4384106695652008,RAG,rag_02::c2,"ude retrieval quality,          context window limitations, and handling conflicting information from multiple sources.          Advanced RAG architectures may include query rewriting, multi-hop retri"
200,20,MiniLM,Can retrieval completely replace parameter updates for domain adaptation?,3,0.3860540986061096,RAG,rag_01::c3,"retrieving relevant passages given a query, and generating a response using the retrieved context.          RAG is particularly useful for knowledge-intensive tasks where the model needs acces"
200,20,MiniLM,What happens if my chunks are too small to contain a complete answer?,1,0.5463129878044128,Chunking,chunking_01::c0,Chunking is the process of splitting documents into smaller pieces for indexing and retrieval.          The chunk size significantly impacts retrieval quality.          Small chunks (100-200 tokens) p
200,20,MiniLM,What happens if my chunks are too small to contain a complete answer?,2,0.46658337116241455,Chunking,chunking_01::c3,"sed on topic boundaries.          The optimal chunk size depends on the embedding model's context window, the nature of queries, and the document structure."
200,20,MiniLM,What happens if my chunks are too small to contain a complete answer?,3,0.4481508731842041,Chunking,chunking_02::c1,s.          This preserves semantic coherence within chunks.          Chunk overlap (typically 10-20% of chunk size) ensures that information spanning chunk boundaries is not lost.          For struct
200,20,MiniLM,Does splitting documents always improve search precision?,1,0.6010657548904419,Chunking,chunking_01::c0,Chunking is the process of splitting documents into smaller pieces for indexing and retrieval.          The chunk size significantly impacts retrieval quality.          Small chunks (100-200 tokens) p
200,20,MiniLM,Does splitting documents always improve search precision?,2,0.5016978979110718,Chunking,chunking_02::c2,"For structured documents like code or markdown, specialized splitters that respect syntax boundaries produce better results.          Parent-child chunking stores both small chunks for preci"
200,20,MiniLM,Does splitting documents always improve search precision?,3,0.45293617248535156,Chunking,chunking_02::c3,all chunks for precise retrieval and their parent documents for expanded context.
200,20,MiniLM,How do I handle tables and code blocks when segmenting documents?,1,0.4611964225769043,Chunking,chunking_02::c2,"For structured documents like code or markdown, specialized splitters that respect syntax boundaries produce better results.          Parent-child chunking stores both small chunks for preci"
200,20,MiniLM,How do I handle tables and code blocks when segmenting documents?,2,0.4204431176185608,Chunking,chunking_01::c0,Chunking is the process of splitting documents into smaller pieces for indexing and retrieval.          The chunk size significantly impacts retrieval quality.          Small chunks (100-200 tokens) p
200,20,MiniLM,How do I handle tables and code blocks when segmenting documents?,3,0.37738460302352905,Chunking,chunking_02::c3,all chunks for precise retrieval and their parent documents for expanded context.
200,20,MiniLM,Is generating a fake answer before search the same as fine-tuning?,1,0.37144795060157776,Evaluation,evaluation_01::c3,"mpleteness, relevance to the query, and proper attribution of sources.          A/B testing with real users provides the most reliable quality signal."
200,20,MiniLM,Is generating a fake answer before search the same as fine-tuning?,2,0.3376014530658722,HyDE,hyde_01::c0,HyDE (Hypothetical Document Embeddings) is an advanced retrieval technique that improves search quality          by generating a hypothetical answer before retrieval.          Instead of embedding the
200,20,MiniLM,Is generating a fake answer before search the same as fine-tuning?,3,0.33394673466682434,RAG,rag_02::c3,"ing, multi-hop retrieval, and fusion techniques to improve answer quality."
200,20,MiniLM,Why would I want the LLM to hallucinate before retrieval?,1,0.38450223207473755,RAG,rag_01::c1,"rameters,          RAG systems retrieve relevant documents from an external knowledge base and use them as context for generating responses.          This approach reduces hallucinations by grounding"
200,20,MiniLM,Why would I want the LLM to hallucinate before retrieval?,2,0.2162838578224182,Evaluation,evaluation_01::c2,"e faithfulness and relevance scores. End-to-end evaluation often uses human judgment or LLM-as-judge approaches.          Important aspects to evaluate include factual accuracy, completeness, relevanc"
200,20,MiniLM,Why would I want the LLM to hallucinate before retrieval?,3,0.21572375297546387,Evaluation,evaluation_01::c0,"Evaluating RAG systems requires measuring both retrieval quality and generation quality.          Retrieval metrics include Hit@K (whether relevant documents appear in top K results),          Mean Re"
200,20,MiniLM,Does HyDE work when the query uses jargon the LLM doesn't know?,1,0.6426851153373718,HyDE,hyde_01::c2,This bridges the semantic gap between short queries and longer document passages.            HyDE is particularly effective when queries are vague or use different terminology than the inde
