query,iter,total_ms
What is RAG?,1,1.016
What is RAG?,2,0.699
What is RAG?,3,0.636
What is RAG?,4,0.639
What is RAG?,5,0.592
What is RAG?,6,0.952
What is RAG?,7,1.309
What is RAG?,8,0.758
What is RAG?,9,0.643
What is RAG?,10,0.55
What is RAG?,11,0.556
What is RAG?,12,0.746
What is RAG?,13,0.813
What is RAG?,14,1.171
What is RAG?,15,0.727
What is RAG?,16,0.547
What is RAG?,17,0.541
What is RAG?,18,0.552
What is RAG?,19,0.756
What is RAG?,20,0.531
How does retrieval-augmented generation work?,1,0.529
How does retrieval-augmented generation work?,2,0.482
How does retrieval-augmented generation work?,3,0.51
How does retrieval-augmented generation work?,4,0.475
How does retrieval-augmented generation work?,5,0.842
How does retrieval-augmented generation work?,6,0.683
How does retrieval-augmented generation work?,7,0.449
How does retrieval-augmented generation work?,8,0.404
How does retrieval-augmented generation work?,9,0.388
How does retrieval-augmented generation work?,10,0.427
How does retrieval-augmented generation work?,11,0.432
How does retrieval-augmented generation work?,12,0.422
How does retrieval-augmented generation work?,13,0.423
How does retrieval-augmented generation work?,14,0.425
How does retrieval-augmented generation work?,15,0.391
How does retrieval-augmented generation work?,16,0.414
How does retrieval-augmented generation work?,17,0.414
How does retrieval-augmented generation work?,18,0.417
How does retrieval-augmented generation work?,19,0.412
How does retrieval-augmented generation work?,20,0.393
How to create a git branch?,1,0.389
How to create a git branch?,2,0.341
How to create a git branch?,3,0.365
How to create a git branch?,4,0.383
How to create a git branch?,5,0.389
How to create a git branch?,6,0.377
How to create a git branch?,7,0.373
How to create a git branch?,8,0.375
How to create a git branch?,9,0.391
How to create a git branch?,10,0.366
How to create a git branch?,11,0.406
How to create a git branch?,12,0.373
How to create a git branch?,13,0.362
How to create a git branch?,14,0.372
How to create a git branch?,15,0.348
How to create a git branch?,16,0.324
How to create a git branch?,17,0.327
How to create a git branch?,18,0.353
How to create a git branch?,19,0.359
How to create a git branch?,20,0.353
What is the difference between git merge and git rebase?,1,0.369
What is the difference between git merge and git rebase?,2,0.34
What is the difference between git merge and git rebase?,3,0.361
What is the difference between git merge and git rebase?,4,0.358
What is the difference between git merge and git rebase?,5,0.344
What is the difference between git merge and git rebase?,6,0.352
What is the difference between git merge and git rebase?,7,0.34
What is the difference between git merge and git rebase?,8,0.308
What is the difference between git merge and git rebase?,9,0.347
