query,rank,score,topic,source,text_preview,expected_kw,auto_label,manual_label
What is RAG?,1,0.379,RAG,Retrieval - Docs by LangChain.pdf,"architecture is straightforward and predictable, making it suitable for many applications where the retrieval of relevan",rag,1,
What is RAG?,2,0.3727,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,questions such as: what is right and wrong? How should people treat each other? What is a good life? By understanding an,rag,1,
What is RAG?,3,0.3651,GIT,How_to_Git.pdf,"Other popular platform includes GitLab, BitBucket, SourceForge ... 4 What is Git?",rag,0,
How does retrieval-augmented generation work?,1,0.5359,RAG,Retrieval-Augmented Generation (RAG) _ Pinecone.pdf,users. Retrieval-augmented generation can address these limitations. W hat is Retrieval-Augmented Generation? Retrieval-,rag,1,
How does retrieval-augmented generation work?,2,0.4954,RAG,Retrieval-Augmented Generation (RAG) _ Pinecone.pdf,"Assistant, to build production-grade chat and agent-based applications quickly. W as this article helpful? Yes No Jump t",rag,1,
How does retrieval-augmented generation work?,3,0.4666,RAG,Retrieval-Augmented Generation (RAG) _ Pinecone.pdf,How does Retrieval-Augmented Generation work? RAG brings accuracy and relevancy to LLM output by relying on authoritativ,rag,1,
How to create a git branch?,1,0.623,GIT,git-cheat-sheet-education.pdf,git branch list your branches. a * will appear next to the currently active branch git branch [branch-name] create a new,git,1,
How to create a git branch?,2,0.5329,GIT,git-cheat-sheet-education.pdf,git merge [alias]/[branch] merge a remote branch into your current branch to bring it up to date git push [alias] [branc,git,1,
How to create a git branch?,3,0.5219,GIT,How_to_Git.pdf,To start: git init Create an empty Git repository or reinitialize an existing one. This will create a .git directory. gi,git,1,
What is the difference between git merge and git rebase?,1,0.5371,GIT,How_to_Git.pdf,"git merge <new_branch>: merge a new branch into the existing (e.g., main) branchConflicts can occur in several situation",git,1,
What is the difference between git merge and git rebase?,2,0.5175,GIT,git-cheat-sheet-education.pdf,git merge [branch] merge the speciﬁed branch’s history into the current one git log show all commits in the current bran,git,1,
What is the difference between git merge and git rebase?,3,0.5144,GIT,git-cheat-sheet-education.pdf,TRACKING PATH CHANGES Versioning ﬁle removes and path changes git rm [file] delete the ﬁle from project and stage the re,git,1,
What is Google Cloud Platform?,1,0.6336,GCP,Introduction to GCP.pdf,Why Google Cloud Platform?https://cloud.google.com/why-google/Pricing philosophyhttps://cloud.google.com/pricing/philoso,gcp,1,
What is Google Cloud Platform?,2,0.5217,GCP,Introduction to GCP.pdf,"Why choose Google Cloud Platform?Google Cloud Platform enables developers to build, test, and deploy applications on Goo",gcp,1,
What is Google Cloud Platform?,3,0.4536,GCP,Introduction to GCP.pdf,Quiz Name some of Google Cloud Platform’s pricing innovations. Name some benefits of using Google Cloud Platform other t,gcp,1,
How do I deploy a container on GCP?,1,0.22,GCP,gcloud-cheat-sheet.pdf,gcloud container clusters list L i s t  c l u s t e r s  t o  r u n  G K E  c o n t a i n e r s gcloud container cluster,gcp,1,
How do I deploy a container on GCP?,2,0.2144,GIT,How_to_Git.pdf,git diff view current unstaged differencesgit diff --cached view staged differencesgit diff earlier-commit-hash later-co,gcp,0,
How do I deploy a container on GCP?,3,0.2041,GCP,Introduction to GCP.pdf,"Why choose Google Cloud Platform?Google Cloud Platform enables developers to build, test, and deploy applications on Goo",gcp,1,
What are the advantages of using a vector database?,1,0.4797,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,"-------------------------------------------------------------------------------- Document 10: considerations including, ",rag,1,
What are the advantages of using a vector database?,2,0.4773,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,"document when responding to a query, as opposed to using the query and its computed vector to directly seek in the vecto",rag,1,
What are the advantages of using a vector database?,3,0.4521,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,"are requ ired to cons ider the impacts of any action or proposed action upon spe considerations including, among others,",rag,1,
What is the difference between BM25 and dense retrieval?,1,0.4193,GIT,git-cheat-sheet-education.pdf,TRACKING PATH CHANGES Versioning ﬁle removes and path changes git rm [file] delete the ﬁle from project and stage the re,rag,0,
What is the difference between BM25 and dense retrieval?,2,0.4045,GIT,How_to_Git.pdf,"(the conflict is between versions, not between people!).They help prevent you from losing information or overwriting som",rag,0,
What is the difference between BM25 and dense retrieval?,3,0.3974,GIT,How_to_Git.pdf,Distributed version control Git is a distributed version control system. Everyone work- ing on the project has a copy of,rag,0,
What is the capital of France?,1,0.5227,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,protection and effective use of the totality of the organization’s “kn owledge”. major categories of “intellectual capit,None,0,
What is the capital of France?,2,0.4815,GIT,How_to_Git.pdf,. Git has no way of knowingwhich (if any) is the authoritative or correct version.This may also happen when you are work,None,0,
What is the capital of France?,3,0.4746,RAG,Advanced RAG — Improving retrieval using Hypothetical Document Embeddings(HyDE) _ by Plaban Nayak _ AI Planet.pdf,"are requ ired to cons ider the impacts of any action or proposed action upon spe considerations including, among others,",None,0,
Who won the FIFA World Cup in 2022?,1,0.3674,GIT,How_to_Git.pdf,"Repository A repository is where the revision history of a project is stored. Itʼs a hidden directory, .git, within the ",None,0,
Who won the FIFA World Cup in 2022?,2,0.3536,GCP,Introduction to GCP.pdf,you can participate in the training courses in Google Cloud’s Data Analyst  learning track.,None,0,
Who won the FIFA World Cup in 2022?,3,0.345,GCP,Introduction to GCP.pdf,"This image shows Google’s data center in Hamina, Finland. The facility is one  of the most advanced and efficient data c",None,0,
