index_type,search_type,query,embed_ms_mean,search_ms_mean,search_ms_min,total_ms_mean,build_ms,top1_score,Hit@3,Prec@3,out_of_scope
IndexFlatIP,Exact,What is RAG?,0.099,0.045,0.045,0.145,,0.4629,1.0,1.0,False
IndexFlatIP,Exact,How does retrieval-augmented generation work?,0.092,0.046,0.043,0.138,,0.5359,1.0,1.0,False
IndexFlatIP,Exact,How to create a git branch?,0.087,0.043,0.043,0.13,,0.623,1.0,1.0,False
IndexFlatIP,Exact,What is the difference between git merge and git rebase?,0.086,0.042,0.041,0.128,,0.5175,1.0,1.0,False
IndexFlatIP,Exact,What is Google Cloud Platform?,0.083,0.041,0.041,0.124,,0.4472,1.0,0.667,False
IndexFlatIP,Exact,How do I deploy a container on GCP?,0.08,0.04,0.039,0.119,,0.22,1.0,0.667,False
IndexFlatIP,Exact,What are the advantages of using a vector database?,0.091,0.042,0.04,0.133,,0.4797,1.0,1.0,False
IndexFlatIP,Exact,What is the difference between BM25 and dense retrieval?,0.079,0.04,0.039,0.119,,0.4193,1.0,0.333,False
IndexFlatIP,Exact,What is the capital of France?,0.077,0.04,0.038,0.117,,0.5227,,,True
IndexFlatIP,Exact,Who won the FIFA World Cup in 2022?,0.075,0.038,0.038,0.114,,0.3674,,,True
IndexHNSWFlat,Approximate,What is RAG?,0.076,0.032,0.031,0.108,18.0,0.4629,1.0,1.0,False
IndexHNSWFlat,Approximate,How does retrieval-augmented generation work?,0.076,0.035,0.033,0.111,18.0,0.5359,1.0,1.0,False
IndexHNSWFlat,Approximate,How to create a git branch?,0.075,0.033,0.031,0.108,18.0,0.623,1.0,1.0,False
IndexHNSWFlat,Approximate,What is the difference between git merge and git rebase?,0.075,0.031,0.03,0.106,18.0,0.5175,1.0,1.0,False
IndexHNSWFlat,Approximate,What is Google Cloud Platform?,0.072,0.032,0.031,0.104,18.0,0.4472,1.0,0.667,False
IndexHNSWFlat,Approximate,How do I deploy a container on GCP?,0.073,0.034,0.032,0.108,18.0,0.22,1.0,0.667,False
IndexHNSWFlat,Approximate,What are the advantages of using a vector database?,0.073,0.03,0.028,0.103,18.0,0.4797,1.0,1.0,False
IndexHNSWFlat,Approximate,What is the difference between BM25 and dense retrieval?,0.07,0.028,0.028,0.099,18.0,0.4193,1.0,0.333,False
IndexHNSWFlat,Approximate,What is the capital of France?,0.073,0.029,0.027,0.102,18.0,0.5227,,,True
IndexHNSWFlat,Approximate,Who won the FIFA World Cup in 2022?,0.073,0.029,0.027,0.102,18.0,0.3674,,,True
