chunk_size,overlap,model,query,expected,hit@1,hit@3,hit@5,mrr,top_topics,top1_score,gap_1_2
200,20,MiniLM,Explain retrieval augmented generation in simple terms,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'HyDE', 'HyDE', 'RAG']",0.7669997215270996,0.2467864751815796
200,20,MiniLM,How does retrieval reduce hallucinations?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'HyDE', 'RAG', 'Chunking', 'Evaluation']",0.5809216499328613,0.3321129083633423
200,20,MiniLM,What is the advantage of RAG over fine-tuning?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'Evaluation', 'RAG', 'RAG', 'RAG']",0.7679013609886169,0.2207580804824829
200,20,MiniLM,What is chunking and why do we use overlap?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.7298055291175842,0.11792570352554321
200,20,MiniLM,How does chunk size affect retrieval quality?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.7522113919258118,0.1401587724685669
200,20,MiniLM,What is recursive character text splitting?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.8872708678245544,0.37957412004470825
200,20,MiniLM,What are text embeddings and how do they work?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Embeddings', 'Embeddings', 'HyDE', 'Embeddings']",0.6213207244873047,0.03550577163696289
200,20,MiniLM,Which embedding models are popular for RAG?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Embeddings', 'RAG', 'Evaluation', 'RAG']",0.591090202331543,0.10404825210571289
200,20,MiniLM,What is FAISS and how does it work?,VectorDB,1.0,1.0,1.0,1.0,"['VectorDB', 'Chunking', 'Evaluation', 'Evaluation', 'Chunking']",0.25452667474746704,0.08100485801696777
200,20,MiniLM,What are the different FAISS index types?,VectorDB,1.0,1.0,1.0,1.0,"['VectorDB', 'HyDE', 'VectorDB', 'VectorDB', 'RAG']",0.46611347794532776,0.15297311544418335
200,20,MiniLM,What is HyDE in retrieval?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'HyDE', 'HyDE', 'RAG', 'HyDE']",0.62940514087677,0.15953868627548218
200,20,MiniLM,How does hypothetical document embedding improve search?,HyDE,0.0,1.0,1.0,0.5,"['Embeddings', 'HyDE', 'Embeddings', 'Embeddings', 'HyDE']",0.7112147808074951,0.09469330310821533
200,20,MiniLM,How do we evaluate retrieval quality?,Evaluation,1.0,1.0,1.0,1.0,"['Evaluation', 'Evaluation', 'Evaluation', 'HyDE', 'RAG']",0.6465587615966797,0.05804765224456787
200,20,MiniLM,What is Mean Reciprocal Rank (MRR)?,Evaluation,1.0,1.0,1.0,1.0,"['Evaluation', 'Evaluation', 'Evaluation', 'HyDE', 'VectorDB']",0.37033766508102417,0.08673503994941711
200,20,MiniLM,Why does adding retrieved context help LLM answers stay accurate?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'RAG', 'Chunking', 'Chunking']",0.5268526077270508,0.059068262577056885
200,20,MiniLM,Does overlap always improve retrieval precision?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Evaluation', 'HyDE', 'Chunking', 'RAG']",0.4081434905529022,0.003962278366088867
200,20,MiniLM,Should I retrain my model or just add a search layer?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'Embeddings', 'RAG', 'RAG', 'VectorDB']",0.3296844959259033,0.012189328670501709
200,20,MiniLM,When is updating model weights better than external retrieval?,RAG,0.0,1.0,1.0,0.5,"['Embeddings', 'RAG', 'RAG', 'RAG', 'Embeddings']",0.45590466260910034,0.02723333239555359
200,20,MiniLM,Can retrieval completely replace parameter updates for domain adaptation?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'RAG', 'RAG', 'HyDE']",0.4650958776473999,0.026685208082199097
200,20,MiniLM,What happens if my chunks are too small to contain a complete answer?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.5463129878044128,0.07972961664199829
200,20,MiniLM,Does splitting documents always improve search precision?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.6010657548904419,0.09936785697937012
200,20,MiniLM,How do I handle tables and code blocks when segmenting documents?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.4611964225769043,0.040753304958343506
200,20,MiniLM,Is generating a fake answer before search the same as fine-tuning?,HyDE,0.0,1.0,1.0,0.5,"['Evaluation', 'HyDE', 'RAG', 'RAG', 'Evaluation']",0.37144795060157776,0.033846497535705566
200,20,MiniLM,Why would I want the LLM to hallucinate before retrieval?,HyDE,0.0,0.0,1.0,0.25,"['RAG', 'Evaluation', 'Evaluation', 'HyDE', 'RAG']",0.38450223207473755,0.16821837425231934
200,20,MiniLM,Does HyDE work when the query uses jargon the LLM doesn't know?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'HyDE', 'HyDE', 'RAG', 'RAG']",0.6426851153373718,0.048309385776519775
200,20,MiniLM,Why do two semantically similar sentences sometimes have low cosine scores?,Embeddings,0.0,1.0,1.0,0.3333333333333333,"['Chunking', 'RAG', 'Embeddings', 'HyDE', 'Chunking']",0.3412259817123413,0.031033873558044434
200,20,MiniLM,Can inner product and cosine similarity give different ranking results?,Embeddings,0.0,1.0,1.0,0.5,"['VectorDB', 'Embeddings', 'VectorDB', 'Embeddings', 'VectorDB']",0.37547576427459717,0.0128898024559021
200,20,MPNet,Explain retrieval augmented generation in simple terms,RAG,1.0,1.0,1.0,1.0,"['RAG', 'HyDE', 'RAG', 'HyDE', 'Evaluation']",0.6249933838844299,0.0664064884185791
200,20,MPNet,How does retrieval reduce hallucinations?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'HyDE', 'RAG', 'RAG', 'RAG']",0.5728269815444946,0.345453679561615
200,20,MPNet,What is the advantage of RAG over fine-tuning?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'RAG', 'RAG', 'Evaluation']",0.8157325983047485,0.3529619574546814
200,20,MPNet,What is chunking and why do we use overlap?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.6596480011940002,0.01230853796005249
200,20,MPNet,How does chunk size affect retrieval quality?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.6834737062454224,0.08344459533691406
200,20,MPNet,What is recursive character text splitting?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Chunking', 'Chunking', 'Chunking']",0.8415653109550476,0.29805904626846313
200,20,MPNet,What are text embeddings and how do they work?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Embeddings', 'Chunking', 'Embeddings', 'VectorDB']",0.5611940026283264,0.03814589977264404
200,20,MPNet,Which embedding models are popular for RAG?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Embeddings', 'Embeddings', 'Embeddings', 'RAG']",0.5732327103614807,0.007053494453430176
200,20,MPNet,What is FAISS and how does it work?,VectorDB,0.0,1.0,1.0,0.5,"['RAG', 'VectorDB', 'RAG', 'RAG', 'Evaluation']",0.3244253396987915,0.01712319254875183
200,20,MPNet,What are the different FAISS index types?,VectorDB,1.0,1.0,1.0,1.0,"['VectorDB', 'Evaluation', 'Evaluation', 'VectorDB', 'Chunking']",0.3454911708831787,0.021405696868896484
200,20,MPNet,What is HyDE in retrieval?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'HyDE', 'HyDE', 'HyDE', 'RAG']",0.6144624352455139,0.08641844987869263
200,20,MPNet,How does hypothetical document embedding improve search?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'Embeddings', 'Embeddings', 'HyDE', 'Embeddings']",0.6612601280212402,0.08566820621490479
200,20,MPNet,How do we evaluate retrieval quality?,Evaluation,1.0,1.0,1.0,1.0,"['Evaluation', 'Evaluation', 'Evaluation', 'RAG', 'RAG']",0.6353874802589417,0.04709810018539429
